loc,specific,lat,lon,date,species,full_id,treatment,pae_ugL,phase,n,colony_a,a_collect_time,colony_b,b_collect_time,combo_time,vial_id,egg_count,phase_time,phase_count,percent_response,2cell,4cell,morecell,respiration,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,high-planula-4,high,50,planula,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,hp4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,high-settle-4,high,50,settle,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,hs4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,peak-cleave-2,peak,150,cleave,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,pc2,44,6/29/2022 3:28,5,11.36363636,5,0,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,low-planula-4,low,0.5,planula,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,lp4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,low-settle-4,low,0.5,settle,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,ls4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,peak-cleave-3,peak,150,cleave,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,pc3,31,6/30/2022 4:27,1,3.225806452,1,0,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,mid-planula-4,mid,5,planula,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,mp4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,mid-settle-4,mid,5,settle,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,ms4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,peak-cleave-4,peak,150,cleave,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,pc4,22,6/30/2022 4:19,2,9.090909091,1,1,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,peak-planula-4,peak,150,planula,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,pp4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,peak-settle-4,peak,150,settle,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,ps4,,,,,,,,,
